abdx,abdx,sd,d>a;d-a>x,d:d-a-x;a:a;b:b;x:x
abdx,abcy,sd,a>d,c:x;a:d;b:b;y:a-d
abdy,abdx,sa,b>a,d:d+y;a:d;b:a;x:b-a
abdy,abdy,sa,a>b;y>a-b,d:d+y-a+b;a:d;b:b;y:a-b
abdy,abdy,sa,a>b;a-b>y,d:d;a:d+a-b-y;b:b;y:y
acdy,acdy,sa,a>y,d:d;a:d+a-y;c:c;y:y
acdy,acdy,sa,y>a,d:d+y-a;a:d;c:c;y:a
abdx,abdx,sa,a>b,d:d;a:d+x+a-b;b:b;x:x
abdx,abdx,sa,b>a,d:d;a:d+x;b:a;x:x+b-a
bcdx,acdx,sa,,d:d;a:d+x;c:c;x:x+b
acdx,acdx,sa,,"d:d,a:d+a+x;c:c;x:x"
bcdy,acdx,sa,,"d:d+y,a:d;c:c;x:b"
abcy,bcdy,sa,a>b;y>a-b,d:y-a+b;b:b;c:c;y:a-b
abcy,abcy,sa,a>b;a-b>y,a:a-b-y;b:b;c:c;y:y
abcy,bcdx,sa,b>a,d:y;b:a;c:c;x:b-a
abcy,abcx,tb,a>b,c:c+y;b:c;a:b;x:a-b
abcy,abcy,tb,b>a;y>b-a,c:c+y-b+a;b:c;a:a;y:b-a
abcy,abcy,tb,b>a;b-a>y,c:c;b:c+b-a-y;a:a;y:y
bcdy,bcdy,tb,b>y,c:c;b:c+b-y;d:d;y:y
bcdy,bcdy,tb,y>b,c:c+y-b;b:c;d:d;y:b
abcx,abcx,tb,b>a,c:c;b:c+x+b-a;a:a;x:x
abcx,abcx,tb,a>b,c:c;b:c+x;a:b;x:x+a-b
acdx,bcdx,tb,,c:c;b:c+x;d:d;x:x+a
bcdx,bcdx,tb,,"c:c,b:c+b+x;d:d;x:x"
acdy,bcdx,tb,,"c:c+y,b:c;d:d;x:a"
abdy,acdy,tb,b>a;y>b-a,c:y-b+a;a:a;d:d;y:b-a
abdy,abdy,tb,b>a;b-a>y,b:b-a-y;a:a;d:d;y:y
abdy,acdx,tb,a>b,c:y;a:b;d:d;x:a-b
abdx,abdy,ta,d>a,b:b+x;a:b;d:a;y:d-a
abdx,abdx,ta,a>d;x>a-d,b:b+x-a+d;a:b;d:d;x:a-d
abdx,abdx,ta,a>d;a-d>x,b:b;a:b+a-d-x;d:d;x:x
abcx,abcx,ta,a>x,b:b;a:b+a-x;c:c;x:x
abcx,abcx,ta,x>a,b:b+x-a;a:b;c:c;x:a
abdy,abdy,ta,a>d,b:b;a:b+y+a-d;d:d;y:y
abdy,abdy,ta,d>a,b:b;a:b+y;d:a;y:y+d-a
bcdy,abcy,ta,,b:b;a:b+y;c:c;y:y+d
abcy,abcy,ta,,"b:b,a:b+a+y;c:c;y:y"
bcdx,abcy,ta,,"b:b+x,a:b;c:c;y:d"
acdx,bcdx,ta,a>d;x>a-d,b:x-a+d;d:d;c:c;x:a-d
acdx,acdx,ta,a>d;a-d>x,a:a-d-x;d:d;c:c;x:x
acdx,bcdy,ta,d>a,b:x;d:a;c:c;y:d-a
acdy,acdx,td,c>d,a:a+y;d:a;c:d;x:c-d
acdy,acdy,td,d>c;y>d-c,a:a+y-d+c;d:a;c:c;y:d-c
acdy,acdy,td,d>c;d-c>y,a:a;d:a+d-c-y;c:c;y:y
abdy,abdy,td,d>y,a:a;d:a+d-y;b:b;y:y
abdy,abdy,td,y>d,a:a+y-d;d:a;b:b;y:d
acdx,acdx,td,d>c,a:a;d:a+x+d-c;c:c;x:x
acdx,acdx,td,c>d,a:a;d:a+x;c:d;x:x+c-d
abcx,abdx,td,,a:a;d:a+x;b:b;x:x+c
abdx,abdx,td,,"a:a,d:a+d+x;b:b;x:x"
abcy,abdx,td,,"a:a+y,d:a;b:b;x:c"
bcdy,abcy,td,d>c;y>d-c,a:y-d+c;c:c;b:b;y:d-c
bcdy,bcdy,td,d>c;d-c>y,d:d-c-y;c:c;b:b;y:y
bcdy,abcx,td,c>d,a:y;c:d;b:b;x:c-d
bcdx,bcdy,tc,b>c,d:d+x;c:d;b:c;y:b-c
bcdx,bcdx,tc,c>b;x>c-b,d:d+x-c+b;c:d;b:b;x:c-b
bcdx,bcdx,tc,c>b;c-b>x,d:d;c:d+c-b-x;b:b;x:x
acdx,acdx,tc,c>x,d:d;c:d+c-x;a:a;x:x
acdx,acdx,tc,x>c,d:d+x-c;c:d;a:a;x:c
bcdy,bcdy,tc,c>b,d:d;c:d+y+c-b;b:b;y:y
bcdy,bcdy,tc,b>c,d:d;c:d+y;b:c;y:y+b-c
abdy,acdy,tc,,d:d;c:d+y;a:a;y:y+b
acdy,acdy,tc,,"d:d,c:d+c+y;a:a;y:y"
abdx,acdy,tc,,"d:d+x,c:d;a:a;y:b"
abcx,abdx,tc,c>b;x>c-b,d:x-c+b;b:b;a:a;x:c-b
abcx,abcx,tc,c>b;c-b>x,c:c-b-x;b:b;a:a;x:x
abcx,abdy,tc,b>c,d:x;b:c;a:a;y:b-c
bcdy,bcdy,sb,b>c,b:b+y-c;c:c;d:d;y:y
acdx,acdx,sc,c>d,c:c+x-d;d:d;a:a;x:x
abdy,abdy,sd,d>a,d:d+y-a;a:a;b:b;y:y
abcx,abcx,sa,a>b,a:a+x-b;b:b;c:c;x:x
abdx,abdx,tb,b>a,b:b+x-a;a:a;d:d;x:x
abcy,abcy,tc,c>b,c:c+y-b;b:b;a:a;y:y
bcdx,bcdx,td,d>c,d:d+x-c;c:c;b:b;x:x
acdy,acdy,ta,a>d,a:a+y-d;d:d;c:c;y:y
bcdy,bcdy,sb,c>b,b:y;c:b;d:d;y:y+c-b
acdx,acdx,sc,d>c,c:x;d:c;a:a;x:x+d-c
abdy,abdy,sd,a>d,d:y;a:d;b:b;y:y+a-d
abcx,abcx,sa,b>a,a:x;b:a;c:c;x:x+b-a
abdx,abdx,tb,a>b,b:x;a:b;d:d;x:x+a-b
abcy,abcy,tc,b>c,c:y;b:c;a:a;y:y+b-c
bcdx,bcdx,td,c>d,d:x;c:d;b:b;x:x+c-d
acdy,acdy,ta,d>a,a:y;d:a;c:c;y:y+d-a
